@relation 'x-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-2,4-last'

@attribute Taste.Preferences {0,1,2,3}
@attribute Diabetes {0,1}
@attribute BMI numeric
@attribute FoodType.Egg {0,1}
@attribute FoodType.NonVegetarian {0,1}
@attribute FoodType.Seafood {0,1}
@attribute FoodType.Vegan {0,1}
@attribute FoodType.Vegetarian {0,1}
@attribute Allergies.Corn {0,1}
@attribute Allergies.Eggs {0,1}
@attribute Allergies.Fish {0,1}
@attribute Allergies.Gelatin {0,1}
@attribute Allergies.Peanuts {0,1}
@attribute Allergies.Soy {0,1}
@attribute Allergies.Wheat {0,1}
@attribute Allergies.Milk {0,1}
@attribute Allergies.None {0,1}
@attribute Likes.Chinese {0,1}
@attribute Likes.Lebanese {0,1}
@attribute Likes.Maharashtrian {0,1}
@attribute Likes.Punjabi {0,1}
@attribute Likes.Western {0,1}
@attribute Likes.None {0,1}
@attribute Likes.Thai {0,1}
@attribute Recommended.Package {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
3,0,22.857,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,8
1,0,18.519,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,19.1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8
1,0,24.816,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3,0,35.38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,0,19.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,25.42,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
0,0,17.007,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,21.605,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
3,0,26.346,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,21.333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9
3,0,27.181,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
1,0,21.333,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8
1,0,27.459,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,26.575,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,0,21.778,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6
1,0,24.974,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,0,25.201,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,24.516,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3,0,16.135,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
3,0,20.34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9
1,0,22.877,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9
3,0,24.221,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,8
0,0,27.66,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,23.307,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14
2,0,26.26,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,21.679,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,12
1,1,25.195,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1,0,24.387,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12
3,0,18.29,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
3,0,21.484,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10
1,0,24.152,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,12
1,0,27.055,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0,19.031,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
1,0,20.202,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,10
3,0,19.607,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12
1,0,22.857,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10
1,0,21.929,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,12
1,0,17.675,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,0,19.778,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
